state,value,WomenEarning,MenEarning
New York,88.6501,46208,52124
Delaware,88.5475,45192,51037
Florida,86.6172,35604,41105
District of Columbia,86.1013,62191,72230
North Carolina,85.9036,36113,42039
Rhode Island,85.7538,44050,51368
California,85.7067,43335,50562
New Mexico,84.6284,35070,41440
Vermont,83.7636,40173,47960
Nevada,83.7092,36565,43681
Maryland,83.5685,50635,60591
Arizona,83.483,37084,44421
Massachusetts,83.1317,51343,61761
Connecticut,82.3825,50802,61666
Kentucky,82.0085,35294,43037
New Jersey,81.958,50373,61462
Minnesota,81.0654,42137,51979
Tennessee,80.9571,34427,42525
South Carolina,80.9271,34182,42238
Oregon,80.7775,38774,48001
Colorado,80.7508,41690,51628
Georgia,80.734,36650,45396
Illinois,79.2297,41327,52161
Washington,79.0216,44422,56215
Texas,78.934,36934,46791
Pennsylvania,78.8881,40214,50976
Arkansas,78.8834,32003,40570
Nebraska,78.7674,36834,46763
Maine,78.4953,36841,46934
Wisconsin,78.2744,38594,49306
South Dakota,78.0847,33268,42605
Missouri,77.9114,35759,45897
Virginia,77.846,42342,54392
Iowa,76.6713,36264,47298
Kansas,76.615,36671,47864
New Hampshire,76.3768,43172,56525
Alabama,76.148,34310,45057
Indiana,75.9216,35753,47092
Mississippi,75.7082,31110,41092
Ohio,74.6539,37365,50051
Michigan,74.2606,37486,50479
Idaho,73.5207,31808,43264
Oklahoma,73.2301,32096,43829
Montana,72.5083,33443,46123
North Dakota,71.1422,37016,52031
Utah,71.0668,36060,50741
West Virginia,70.5914,31824,45082
Louisiana,68.0314,33832,49730
Wyoming,64.4403,36064,55965
Hawaii,84.1078,40434,48074
Alaska,77.9433,43455,55752